title,created_at,author
"feat: add trusted headers variables and setup enhanced getIP",2025-11-27T12:08:46Z,levivannoort
"Refactor auth single instance",2025-11-26T15:12:19Z,shimonewman
"Backend changes for project-specific roles",2025-11-25T07:12:31Z,hmacr
"Improve error page styling with interactive button states",2025-11-24T18:11:16Z,mayurshetty100
"Fix: Implement mandatory authentication check for Custom SMTP configuration",2025-11-24T17:42:51Z,VijaykumarPujar-tech
"WIP: Separate specifications",2025-11-24T14:47:38Z,Meldiron
"Create pull request with tests",2025-11-23T22:18:43Z,eldadfux
"Improve SMTP error logging in development",2025-11-22T00:47:08Z,po0mpomm
"Fix: Prevent console freeze on large collections (#10809)",2025-11-19T12:47:47Z,suman-X
"refactor(builds): remove queue magic",2025-11-18T18:56:07Z,loks0n
"cached documents list",2025-11-18T14:32:16Z,shimonewman
"Feat docker geo",2025-11-17T01:18:00Z,lohanidamodar
"fix: enable SMTPAuth validation for SMTP settings (#9067)",2025-11-13T09:44:18Z,duvvuvenkataramana
"feat: Enhanced screenshot error handling and debugging",2025-11-11T05:38:09Z,vm0809
"Update README files to match new tagline",2025-11-10T21:16:44Z,ebenezerdon
"Update README.md",2025-11-10T08:26:22Z,LauraDuRy
"Set proper access-control-allow-origin for OPTIONS request",2025-11-06T12:24:00Z,hmacr
"Send email on failed deployment",2025-11-06T07:35:14Z,hmacr
"fix: Use supported runtimes from env config",2025-11-04T06:40:31Z,hmacr
"Add TikTok OAuth provider",2025-11-03T22:08:45Z,Copilot
"docs: add Ubuntu prerequisites for Docker installation",2025-10-30T03:44:43Z,Navadeep0007
"Refactor Brazilian Portuguese translations and email templates",2025-10-30T03:34:40Z,feschaffa
"fix: increase sites template deployment test timeout",2025-10-29T09:55:16Z,hmacr
"Customize email preview and heading between Console and projects",2025-10-28T14:10:27Z,hmacr
"CSV import fix for spatial types",2025-10-28T08:39:37Z,ArnabChatterjee20k
"Appwrite overall readability",2025-10-28T01:24:25Z,mishmanners
"Feat 1we 29 : Add email templates for account change notifications",2025-10-27T11:23:14Z,bandaranaike
"add: env var.",2025-10-26T11:15:03Z,ItzNotABug
"feat: Add provider info to the session data for OAuth2 token auth",2025-10-22T22:38:00Z,adityaoberai
"POC Feat photo api",2025-10-22T09:23:41Z,eldadfux
"docs: fix Docker command syntax in code autocompletion section",2025-10-21T05:54:21Z,JDeep1234
"fix(users): handle null name param #8785",2025-10-16T23:52:16Z,Shobhit150
"UniqueException",2025-10-16T09:43:07Z,fogelito
"vectordb api endpoints",2025-10-16T07:24:20Z,ArnabChatterjee20k
"feat: add support for blocking disposable email addresses",2025-10-13T22:45:16Z,eldadfux
"Update CustomId.php(Cannot delete row with invalid id / can create row with invalid id bug)",2025-10-10T16:44:34Z,KaranMishra3610
"fix: enable SMTPAuth for SMTP settings validation",2025-10-09T11:59:21Z,Strangerfied
"docs: clarify async function structure, add async cloud example (#8382)",2025-10-08T13:45:11Z,D0CT4
"docs(functions): clarify permissions and session requirements for get…",2025-10-07T13:02:42Z,D0CT4
"docs/improve hacktoberfest readme",2025-10-06T03:30:39Z,sameelkazi
